sentence	label
`` according gran company plans move production russia although company growing ''	0
`` last quarter 2010 componenta 's net sales doubled eur131m eur76m period year earlier moved zero pre-tax profit pre-tax loss eur7m ''	1
`` third quarter 2010 net sales increased 5.2 % eur 205.5 mn operating profit 34.9 % eur 23.5 mn ''	1
operating profit rose eur 13.1 mn eur 8.7 mn corresponding period 2007 representing 7.7 % net sales	1
`` operating profit totalled eur 21.1 mn eur 18.6 mn 2007 representing 9.7 % net sales ''	1
`` finnish talentum reports operating profit increased eur 20.5 mn 2005 eur 9.3 mn 2004 net sales totaled eur 103.3 mn eur 96.4 mn ''	1
`` clothing retail chain sepp+l+ 's sales increased 8 % eur 155.2 mn operating profit rose eur 31.1 mn eur 17.1 mn 2004 ''	1
`` consolidated net sales increased 16 % reach eur74 .8 operating profit amounted eur0 .9 compared loss eur0 .7 prior year period ''	1
`` foundries division reports sales increased 9.7 % eur 63.1 mn eur 57.5 mn corresponding period 2006 sales machine shop division increased 16.4 % eur 41.2 mn eur 35.4 mn corresponding period 2006 ''	1
`` helsinki ( afx ) - shares closed higher led nokia announced plans team sanyo manufacture 3g handsets nokian tyres fourth-quarter earnings report beat analysts ' expectations dealers said ''	1
`` board directors propose dividend eur0 .12 per share 2010 eur0 .08 per share paid 2009 ''	1
`` megafon 's subscriber base increased 16.1 % 2009 50.5 million users december 31 market share number customers amounted 24 % late 2009 23 % late 2008 according teliasonera estimates ''	1
`` net income life insurance doubled eur 6.8 mn eur 3.2 mn net income non-life insurance rose eur 5.2 mn eur 1.5 mn corresponding period 2009 ''	1
net sales increased eur193 .3 eur179 .9 pretax profit rose 34.2 % eur43 .1 m. ( eur1 = usd1 .4 )	1
`` net sales surged 18.5 % eur167 .8 m. teleste said eur20 .4 12.2 % sales came acquisitions made 2009 ''	1
nordea group 's operating profit increased 2010 18 percent year-on-year 3.64 billion euros total revenue 3 percent 9.33 billion euros	1
`` operating profit nine-month period increased eur13 .6 net sales increased eur394 .7 compared corresponding period 2005 ''	1
`` operating profit three-month period increased eur1 .2 revenue increased eur20 .2 compared corresponding period 2005 ''	1
`` company 's net profit rose 11.4 % year 82.2 million euros 2005 sales 686.5 million euros 13.8 % year company said earlier ''	1
`` lithuanian beer market made 14.41 million liters january rise 0.8 percent year-earlier figure lithuanian brewers ' association reporting citing results members ''	1
`` viking line 's cargo revenue increased 5.4 % eur 21.46 mn cargo volume increased 2.4 % 70,116 cargo units ''	1
`` fair value property portfolio doubled result kapiteeli acquisition totalled eur 2,686.2 1,259.7 million ''	1
10 february 2011 - finnish media company sanoma oyj hel : saa1v said yesterday 2010 net profit almost tripled eur297 .3 eur107 .1 2009 announced proposal raised payout	1
`` helsinki : eliiv today reported eps eur1 .13 2009 increase eps eur1 .12 2008 ''	1
`` commission income increased 22 % eur 4.4 mn lending volume rose 13.5 % ''	1
`` january traffic measured revenue passenger kilometres rpk went 3.2 % capacity measured available seat kilometres ask rose 12.2 % ''	1
`` january-september 2010 fiskars ' net profit went 14 % year-on-year eur 65.4 million net sales eur 525.3 million eur 487.7 million ''	1
`` net income life insurance rose eur 16.5 mn eur 14.0 mn net income non-life insurance eur 22.6 mn eur 15.2 mn 2009 ''	1
sales risen export markets	1
sales increased due growing market rates increased operations	1
agreement strengthens long-term partnership nokia siemens networks	1
`` company 's order book stood 1.5 bln euro $ 2.2 bln september 30 2007 24.2 pct year international orders amounting 365 mln euro $ 534.3 mln ''	1
`` company said paper demand increased main markets including publication papers increased average paper prices 4 percent compared last year ''	1
`` world 's second largest stainless steel maker said net profit three-month period dec. 31 surged euro603 million us $ 781 million euro3 .33 us $ 4.31 per share euro172 million euro0 .94 per share previous year ''	1
`` shares standard chartered ( stan ) rose 1.2 % ftse 100 royal bank scotland ( rbs ) shares rose 2 % barclays shares ( barc ) ( bcs ) 1.7 % ''	1
shares nokia corp. rose thursday cell phone maker said third-quarter earnings almost doubled share global handset market increased	1
`` financial report published friday seb said net profit soared sek6 .745 bn 2010 year-earlier sek1 .114 bn proposed 50 % dividend increase sek1 .50 per share ''	1
`` request finnish media company alma media 's newspapers research manager jari kaivo-oja finland futures research centre turku school economics drawn future scenario finland 's national economy using model developed university denver ''	0
stock exchange announcement 20 july 2006 1 ( 1 ) basware share subscriptions warrants increase share capital total 119 850 shares subscribed basware warrant program	0
`` maximum 666,104 new shares subscribed exercising b options 2004 stock option plan ''	0
tiimari operates 194 stores six countries -- including core finnish market -- generated turnover 76.5 mln eur 2005	0
acquisition considerably increase kemira 's sales market position russian metal industry coatings market	1
`` january-september 2007 finnlines ' net sales rose eur 505.4 mn eur 473.5 mn corresponding period 2006 ''	1
`` adjusted changes group structure division 's net sales increased 1.7 % ''	1
`` 4 february 2011 - finnish broadband data communication systems provider teleste oyj hel : tlt1v saw net profit jump eur2 .1 last quarter 2010 eur995 ,000 period 2009 ''	1
finnish aktia group 's operating profit rose eur 17.5 mn first quarter 2010 eur 8.2 mn first quarter 2009	1
finnish bank +land 's consolidated net operating profit increased eur 4.8 mn first quarter 2005 eur 6.4 mn first quarter 2006	1
`` finnish financial group aktia reports operating profit eur 44.4 mn january-september 2009 eur 37.3 mn corresponding period 2008 ''	1
`` finnish high technology provider vaahto group reports net sales eur 41.8 mn accounting period september 2007 - february 2008 increase 11.2 % year earlier ''	1
net sales finnish food industry company l+nnen tehtaat 's continuing operations increased 13 % 2008 eur 349.1 mn eur 309.6 mn 2007	1
biohit already services many current genesis customers customer base expected expand result agreement	1
`` operating profit turnover three-month period increased respectively eur0 .9 eur8 .3 compared corresponding period 2005 ''	1
circulation revenue increased 5 % finland 4 % sweden 2008	1
clothing chain sepp+l+ 's net sales increased 7.0 % eur 30.8 mn	1
construction volumes meanwhile grow rate 10-15 percent annually	1
